Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
Alexis “Barboza” Nicolas,76.6,183.0,France,26,Mahmoudi Gym,Kickboxing,Male,Lightweight,2,2,0,0,0,0,2,0,0,0,0,1,0,4
Allycia Hellen Rodrigues,52.2,161.0,Brazil,27,Phuket Fight Club,Muay Thai,Male,Strawweight,4,1,0,1,0,0,2,0,1,0,0,0,0,5
Anatoly “Sladkiy” Malykhin,92.8,180.0,Russia,37,Golden Team,MMA,Male,Middleweight,6,1,0,3,0,0,0,0,0,0,0,0,1,7
“Unstoppable” Angela Lee,56.1,164.0,Singapore / United States,28,Evolve MMA / United MMA,MMA,Male,Strawweight,11,3,0,1,8,0,2,0,0,0,0,2,0,14
Chingiz “Chinga” Allazov,70.1,181.0,Azerbaijan / Belarus,31,Gridin Gym,Kickboxing,Male,Featherweight,5,1,0,0,0,0,2,0,0,0,0,0,1,6
Christian “The Warrior” Lee,77.3,180.0,Singapore / United States,27,Evolve MMA / United MMA,MMA,Male,Welterweight,17,4,1,12,4,0,1,0,0,1,1,1,1,22
Danielle Kelly,52.0,165.0,United States,29,Silver Fox BJJ,Submission Grappling,Male,Atomweight,3,2,1,0,1,0,2,0,0,0,0,2,0,6
Demetrious “Mighty Mouse” Johnson,60.7,160.0,United States,38,AMC Pankration / Evolve MMA,MMA,Male,Flyweight,6,1,0,0,2,0,3,0,0,0,0,0,0,7
Denice “The Menace” Zamboanga,51.8,158.0,Philippines,28,1,MMA,Male,Atomweight,7,2,0,1,1,0,4,1,0,0,0,1,1,9
Fabricio “Wonder Boy” Andrade,65.8,172.0,Brazil,27,Evolve MMA / Tiger Muay Thai,MMA,Male,Featherweight,7,1,1,3,1,0,1,0,0,0,0,0,0,9
Jackie Buntan,59.4,162.0,United States,27,Boxing Works,Kickboxing,Male,Flyweight,7,1,0,1,0,0,5,0,0,0,0,1,0,8
Jarred “The Monkey God” Brooks,56.5,160.0,United States,32,Mash Fight Team,MMA,Male,Strawweight,5,4,0,0,3,0,2,0,1,1,1,0,1,9
Jonathan Di Bella,56.2,175.0,Canada / Italy,28,Team Di Bella Kickboxing,Kickboxing,Male,Strawweight,4,1,0,0,0,0,4,0,0,0,0,1,0,5
Jonathan “The General” Haggerty,65.1,170.0,United Kingdom,28,Knowlesy Academy / Team Underground,Kickboxing,Male,Bantamweight,9,3,0,1,0,0,5,0,1,0,0,1,0,12
Joseph “The Hurricane” Lasiri,56.6,170.0,Italy / Morocco,33,Kick and Punch Milano,Muay Thai,Male,Strawweight,4,7,0,1,0,0,0,1,2,0,0,3,0,11
Joshua “The Passion” Pacio,56.2,165.0,Philippines,29,Lions Nation MMA,MMA,Male,Strawweight,14,4,0,3,4,1,2,2,0,2,0,1,1,18
Kade Ruotolo,76.1,180.0,United States,22,Atos,MMA,Male,Lightweight,9,0,0,0,5,0,4,0,0,0,0,0,0,9
Masaaki Noiri,70.0,175.0,Japan,32,1,Kickboxing,Male,Featherweight,2,2,0,1,0,0,0,0,0,0,0,2,0,4
Mayssa Bastos,47.63,152.0,Brazil,27,Art of Jiu-Jitsu Academy,Submission Grappling,Male,Atomweight,3,0,0,0,0,0,3,0,0,0,0,0,0,3
Nabil Anane,61.23,195.0,Algeria / Thailand,21,Team Mehdi Zatout,Muay Thai,Male,Bantamweight,7,1,0,1,0,0,4,0,0,0,0,0,0,8
Nong-O Hama,60.8,171.0,Thailand,38,Evolve MMA,Muay Thai,Male,Flyweight,12,4,0,1,0,0,6,1,0,0,0,1,1,16
“Reug Reug” Oumar Kane,118.2,184.0,Senegal,33,Black Panther Sports / TRIPL3 MMA,MMA,Male,Heavyweight,7,1,0,3,0,0,2,1,1,0,0,0,0,8
Petchtanong Petchfergus,65.8,174.0,Thailand,39,Superbon Training Camp,Kickboxing,Male,Featherweight,3,1,0,1,0,0,1,1,0,0,0,0,0,4
“The Queen” Phetjeeja Lukjaoporongtom,51.9,160.0,Thailand,23,Team Mehdi Zatout,Kickboxing,Male,Atomweight,7,0,0,4,0,0,3,0,0,0,0,0,0,7
Prajanchai PK Saenchai,56.2,163.0,Thailand,30,PK Saenchai Muaythaigym,Muay Thai,Male,Strawweight,7,1,0,1,0,0,3,0,1,0,0,0,0,8
